/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|       0 |     -200.800    |          0.000      |         0.000      |

|       1 |     -218.400    |          0.000      |         0.000      |



|       2 |     -221.000    |          0.000      |         0.000      |

|       3 |     -220.900    |          0.000      |         0.000      |

|       4 |     -220.800    |          0.000      |         0.000      |

|       5 |     -211.000    |          0.000      |         0.000      |

|       6 |     -213.500    |          0.000      |         0.000      |

|       7 |     -207.200    |          0.000      |         0.000      |

|       8 |     -206.300    |          0.000      |         0.000      |

|       9 |     -205.200    |          0.000      |         0.000      |

|      10 |     -213.600    |          0.000      |         0.000      |

|      11 |     -214.600    |          0.000      |         0.000      |

|      12 |      -69.400    |          0.000      |         0.000      |

|      13 |     -192.700    |          0.000      |         0.000      |

|      14 |     -210.300    |          0.000      |         0.000      |

|      15 |      -93.100    |          0.000      |         0.000      |

|      16 |     -211.900    |          0.000      |         0.000      |

|      17 |     -211.600    |          0.000      |         0.000      |

|      18 |     -222.300    |          0.000      |         0.000      |

|      19 |     -193.200    |       -222.300      |      -197.890      |

|      20 |     -195.100    |       -222.300      |      -197.605      |

|      21 |     -176.900    |       -222.300      |      -195.530      |

|      22 |     -179.400    |       -222.300      |      -193.450      |

|      23 |     -223.700    |       -223.700      |      -193.590      |

|      24 |     -210.200    |       -223.700      |      -193.060      |

|      25 |     -220.500    |       -223.700      |      -193.535      |


|      26 |     -213.400    |       -223.700      |      -193.530      |

|      27 |     -218.000    |       -223.700      |      -194.070      |

|      28 |     -228.200    |       -228.200      |      -195.165      |

|      29 |     -217.000    |       -228.200      |      -195.755      |

|      30 |     -215.200    |       -228.200      |      -195.835      |

|      31 |     -198.900    |       -228.200      |      -195.050      |

|      32 |     -207.700    |       -228.200      |      -201.965      |

|      33 |     -215.000    |       -228.200      |      -203.080      |

|      34 |     -177.300    |       -228.200      |      -201.430      |

|      35 |     -196.700    |       -228.200      |      -206.610      |

